id_interno,id_manz,od_f,choice,av_car,av_bus,av_motocarro,tt_car,tt_bus,tt_motocarro,exp_pm25_car,exp_pm25_bus,exp_pm25_motocarro,exp_bc_car,exp_bc_bus,exp_bc_motocarro,age_18_30,age_31_45,age_46_55,age_56_70,age_70plus,female,male,trans,mestizo,afrodesc,blanco,indigena,raizal,no_grupo_etnico,str1,str2,str3,income_lvl,disability,student,formaljob,informaljob,selfemply,vueltas,no_education,primaria,secundaria,posgrado,tech,pregrado,own_formalhouse,own_informalhouse,rent_formalhouse,rent_informalhouse,family_home,head_household
R107,M0875810000000000210801,4_7,2,1,1,1,10,0,0,32.111,0,0,12.437,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
R109,M0875810000000000210921,mean_bus,9,0,1,1,0,40,0,0,21.7,0,0,7.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
R111,M0875810000000000380306,3_4,3,1,1,1,0,0,5,0,0,30.855,0,0,10.725,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
R114,M0875810000000000220215,mean_bus,9,0,1,0,0,25,0,0,21.7,0,0,7.75,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
R115,M0875810000000000240801,mean_bus,9,0,1,1,0,50,0,0,59.37,0,0,32.7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
R121,M0875810000000000250709,3_5,2,1,1,1,60,0,0,14.063,0,0,10.27,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
R123,M0875810000000000390307,mean_bus,9,0,1,1,0,10,0,0,59.37,0,0,32.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
R124,M0875810000000000250725,3_5,2,1,1,1,60,0,0,28.638,0,0,13.935,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
R127,M0875810000000000290613,mean_bus,9,0,1,1,0,60,0,0,59.37,0,0,32.7,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
R130,M0875810000000000380404,mean_bus,9,1,1,1,0,100,0,0,59.37,0,0,32.7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
R135,M0875810000000000160515,mean_bus,9,0,1,1,0,60,0,0,59.37,0,0,32.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R136,M0875810000000000360209,1_5,2,1,1,1,10,0,0,15.499,0,0,4.936,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
R139,M0875810000000000160218,mean_bus,9,0,1,1,0,60,0,0,21.7,0,0,7.75,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
R141,M0875810000000000390604,mean_bus,9,0,1,1,0,30,0,0,59.37,0,0,32.7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
R144,M0875810000000000180910,mean_bus,9,0,1,1,0,60,0,0,59.37,0,0,32.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
R147,M0875810000000000360223,mean_bus,9,0,1,1,0,90,0,0,21.7,0,0,7.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
R148,M0875810000000000190317,mean_bus,9,0,1,1,0,60,0,0,21.7,0,0,7.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R150,M0875810000000000220326,4_5,2,1,1,1,10,0,0,20.758,0,0,10.994,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
R151,M0875810000000000160713,6_5,3,0,1,1,0,0,60,0,0,15.546,0,0,5.22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
R155,M0875810000000000380409,mean_bus,9,0,1,1,0,30,0,0,21.7,0,0,7.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R156,M0875810000000000400819,mean_motocarro,3,0,1,1,0,0,5,0,0,23.66,0,0,7.99,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
R158,M0875810000000000160806,mean_bus,9,0,1,1,0,45,0,0,21.7,0,0,7.75,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
R159,M0875810000000000160806,mean_bus,9,0,1,1,0,60,0,0,59.37,0,0,32.7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
R160,M0875810000000000400603,mean_bus,9,0,1,1,0,90,0,0,21.7,0,0,7.75,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
